::ffff:127.0.0.1 - - [26/Nov/2022:11:19:23 +0000] "POST /api/save-details HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [26/Nov/2022:11:19:49 +0000] "POST /api/raw-material/save-details HTTP/1.1" 201 34 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [26/Nov/2022:12:06:04 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [26/Nov/2022:12:07:29 +0000] "POST /api/raw-material/save-details HTTP/1.1" 201 34 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [26/Nov/2022:12:07:50 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [26/Nov/2022:13:35:02 +0000] "POST /api/raw-material/save-details HTTP/1.1" 201 34 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [26/Nov/2022:14:20:36 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:23:24 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:24:33 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:26:33 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:28:13 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:37:32 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:37:34 +0000] "POST /api/raw-material/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:39:42 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:41:06 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:41:08 +0000] "POST /api/raw-material/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:42:18 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::1 - - [26/Nov/2022:14:42:18 +0000] "POST /api/raw-material/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Dec/2022:13:06:00 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:12:18 +0000] "POST /api/user/ HTTP/1.1" 404 149 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:12:21 +0000] "GET /api/user/ HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:12:24 +0000] "GET /api/user/ HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:12:24 +0000] "GET /api/user/ HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:14:20 +0000] "GET /api/user/ HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:14:21 +0000] "GET /api/user/ HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:14:49 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:14:52 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:15:08 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:20:41 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:20:42 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:20:42 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:24:18 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:24:18 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:24:18 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:24:18 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:24:19 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:24:19 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:24:30 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:24:30 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:24:31 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
